Name,Category,Description,Price
2 Paneer Royale Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0
2 Chicken Tandoori Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0
Mutton Whopper,Whopper,"Our signature Whopper with 7 layers between the buns. Flame-Grilled mutton patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new glazed buns. Swaad Aisa, India Jaisa.",319.0
Veg Whopper,Whopper,"Our signature Whopper with 7 layers between the buns. Extra crunchy veg patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium buns. Swaad Aisa, India Jaisa.",179.0
Veg Whopper with Cheese Slice,Whopper,"Our Signature Whopper With 7 Layers Between The Buns. Extra Crunchy Veg Patty With Cheese Slice, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper",204.0
Chicken Whopper,Whopper,"Our signature Whopper with 7 layers between the buns. Flame-Grilled chicken patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium glazed buns. Swaad Aisa, India Jaisa.",199.0
Mutton Whopper Double Patty,Whopper,"Two Much Mutton As Delicious Flame-Grilled Patties, Farm-Fresh Veggies And Mayo Is What Makes This Mutton Double Whopper A Feast For The Beast",389.0
Veg Whopper Double Patty,Whopper,"Our Signature Whopper With 7 Layers Between The Buns. Extra Crunchy Veg Double Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper",229.0
Chicken Whopper with Cheese Slice,Whopper,"Our Signature Whopper With 7 Layers Between The Buns. Flame Grilled Chicken Patty With Cheese Slice, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper",224.0
Chicken Whopper Double Patty,Whopper,"Our Signature Whopper With 7 Layers Between The Buns. Flame Grilled Chicken Double Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper",259.0
Crispy Veg Burger,Burgers & Wraps,"Our Best-Selling Burger With Crispy Veg Patty, Fresh Onion And Our Signature Sauce",70.0
Chicken Makhani Burst Burger,Burgers & Wraps,Enjoy Rich Makhani Flavour With Crispy Chicken Patty Topped With Fresh Onion,109.0
Crispy Veg Double Patty Burger,Burgers & Wraps,"Our Best-Selling Burger With Crispy Veg Double Patty, Fresh Onion And Our Signature Sauce",99.0
BK-Veggie Double Patty Burger,Burgers & Wraps,"Our tribute to classic American taste. BK veg double patty, garden fresh crispy lettuce, juicy tomato (seasonal) & our signature sauce",159.0
Veg Crunchy Taco,Burgers & Wraps,"Crunchy Shell with mix veg filling, crunchy veggies and spicy sauce",90.0
Veg Makhani Burst Burger,Burgers & Wraps,Enjoy Rich Makhani Flavour With Mix Veg Patty Topped Up With Fresh Onion,80.0
Crispy Chicken Burger,Burgers & Wraps,"Our Best-Selling Burger With Crispy Chicken Patty, Onion And Classic Mayo Sauce",99.0
Crispy Veg Double Patty with Cheese Slice,Burgers & Wraps,"Our Best-Selling Burger With Crispy Veg Double Patty, Cheese Slice, Fresh Onion And Our Signature Sauce",124.0
Crispy Veg with Cheese Slice,Burgers & Wraps,"Our Best-Selling Burger Withcrispy Veg Patty, Cheese Slice, Fresh Onion And Our Signature Sauce",95.0
Crunchy Chicken Taco,Burgers & Wraps,"Crunchy Shell with chicken patty, crunchy veggies and spicy sauce",119.0
Crispy Chicken with Cheese Slice,Burgers & Wraps,"Our Best-Selling Burger With Crispy Chicken Patty, Cheese Slice, Onion And Classic Mayo Sauce",124.0
Whopper Jr Veg,Burgers & Wraps,"Our Signature Whopper With 7 Layers Between The Buns In A Convenient Size. Extra Crunchy Veg Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces",149.0
Whopper Jr Chicken,Burgers & Wraps,"Our Signature Whopper With 7 Layers Between The Buns In A Convenient Size. Flame Grilled Chicken Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces",169.0
Crispy Chicken Double Patty Burger,Burgers & Wraps,"Our Best-Selling Burger With Crispy Chicken Double Patty, Onion And Classic Mayo Sauce",139.0
Crispy Chicken Double Patty with Cheese Slice,Burgers & Wraps,"Our Best-Selling Burger With Crispy Chicken Double Patty, Cheese Slice, Onion And Classic Mayo Sauce.",164.0
